model,balancing,threshold,accuracy,precision,recall,f1_score,roc_auc
SGD,SMOTE,0.7,0.8649736902310684,0.22480967308553515,0.29152148664343785,0.2538558786346397,0.7084519190126657
SGD,EditedNearestNeighbours,0.7,0.9223518645618851,0.7049180327868853,0.02497096399535424,0.04823331463825014,0.7045948738219527
SGD,EditedNearestNeighbours,0.5,0.9229924502402196,0.6089385474860335,0.06329849012775841,0.11467648605996844,0.7045948738219527
SGD,EditedNearestNeighbours,0.3,0.9052848318462594,0.3253012048192771,0.18815331010452963,0.23841059602649006,0.7045948738219527
SGD,None,0.7,0.922168840082361,0.8620689655172413,0.014518002322880372,0.028555111364934323,0.6990754369620884
SGD,None,0.3,0.9179135209334248,0.42105263157894735,0.11149825783972125,0.1763085399449036,0.6990754369620884
SGD,None,0.5,0.9229466941203386,0.6862745098039216,0.04065040650406504,0.07675438596491228,0.6990754369620884
SGD,RandomUnderSampler,0.7,0.8602150537634409,0.20907900480139677,0.2781649245063879,0.23872414652379767,0.6924691077274567
SGD,RandomUnderSampler,0.5,0.6849233584991993,0.14118954974986103,0.5900116144018583,0.22785377887418704,0.6924691077274567
SGD,RandomUnderSampler,0.3,0.42223747426218255,0.10319481842660651,0.8234610917537747,0.1834055487292246,0.6924691077274567
SGD,NearMiss,0.5,0.39482955845344314,0.09481544096928712,0.7816492450638792,0.16911672320643298,0.6163158434275021
SGD,NearMiss,0.3,0.22338137725920842,0.08595319541727751,0.9192799070847851,0.1572074085108496,0.6163158434275021
SGD,NearMiss,0.7,0.5722717913520934,0.1065015479876161,0.5993031358885017,0.1808622502628812,0.6163158434275021
LogisticRegression,NearMiss,0.7,0.5768016472203157,0.10363349131121644,0.5714285714285714,0.1754479807435143,0.6102018556852449
LogisticRegression,NearMiss,0.5,0.43244108899565314,0.09550136322326568,0.7322880371660859,0.16896690339005763,0.6102018556852449
LogisticRegression,NearMiss,0.3,0.2798444291924045,0.08872718737163313,0.8780487804878049,0.16116825667537174,0.6102018556852449
RandomForest,NearMiss,0.5,0.3725005719514985,0.08908991228070176,0.7549361207897793,0.15937231825426015,0.5804962043064031
RandomForest,NearMiss,0.3,0.19469229009380004,0.08206990945462203,0.90534262485482,0.1504971522347717,0.5804962043064031
RandomForest,NearMiss,0.7,0.5326012354152367,0.09398604073047137,0.5708478513356562,0.16139889992611445,0.5804961898843077
XGBoost,NearMiss,0.7,0.43779455502173414,0.08970873786407767,0.6707317073170732,0.15825169555388094,0.5766230496351412
XGBoost,NearMiss,0.3,0.2179821551132464,0.08284023668639054,0.8861788617886179,0.15151665591024177,0.5766230496351412
XGBoost,NearMiss,0.5,0.3306337222603523,0.08702886030588085,0.7897793263646922,0.1567813706841893,0.5766230496351412
GradientBoosting,NearMiss,0.7,0.4182566918325326,0.08960573476702509,0.6968641114982579,0.1587931718936086,0.5750834765303184
GradientBoosting,NearMiss,0.5,0.3099519560741249,0.08576744186046512,0.8031358885017421,0.154984030929568,0.5750834765303184
GradientBoosting,NearMiss,0.3,0.2102036147334706,0.08253183601096126,0.89198606271777,0.1510844440072788,0.5750834765303184
LightGBM,NearMiss,0.3,0.2165179592770533,0.0827870184753752,0.8873403019744484,0.15144457108875564,0.5716807561885355
LightGBM,NearMiss,0.7,0.4353694806680394,0.08984857849196538,0.6753774680603949,0.1585981180962771,0.5716807561885355
LightGBM,NearMiss,0.5,0.3266986959505834,0.08644725953275192,0.7886178861788617,0.15581435373759395,0.5716807561885355
